# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	6297
#@/user_id	0f69583d-8a17-42ac-93db-e15cc74941e5
A T I H 	ATIH	c=1 d=1 t=5318
D 	D	c=1 d=1 t=3238
F I X M E 	FIXME	c=1 d=1 t=4231
I 	I	c=1 d=1 t=2319
R E I G I N 	REIGIN	c=1 d=1 t=2715
a 	啊	c=2 d=1.00001 t=5902
a de 	阿德	c=0 d=0.1 t=4396
a er fa 	阿尔法	c=1 d=1 t=1192
a si di fen 	阿斯蒂芬	c=10 d=2.74438 t=6297
a si di fen de 	阿斯蒂芬的	c=1 d=0.97531 t=6297
ai 	爱	c=0 d=0.1 t=2189
ai de 	爱的	c=0 d=0.097531 t=6297
ai de fan dui 	爱的反对	c=1 d=0.980199 t=6297
ai de se fang 	爱的色放	c=1 d=0.886921 t=6297
an 	按	c=10 d=1.00215 t=4735
an ge 	按个	c=1 d=1 t=1890
an ni 	按你	c=0 d=0.1 t=940
an ni ou 	按你欧	c=1 d=1 t=941
an niu 	按钮	c=5 d=1.00114 t=3855
an pai 	安排	c=1 d=1 t=469
an quan 	安全	c=1 d=1 t=4856
an shi da 	安师大	c=2 d=0.1 t=5521
an shi da fa sheng de 	安师大发生的	c=1 d=1 t=5522
an zhao 	按照	c=3 d=1.40156 t=5600
an zhuang 	安装	c=4 d=1.00042 t=5484
ao si ding fa she dian fa 	奥斯丁发射点法	c=1 d=0.847894 t=6297
ba 	吧	c=21 d=1.35338 t=6058
ba 	把	c=33 d=1.16941 t=6036
ba luo ji 	把逻辑	c=1 d=1 t=2276
ba wo men 	把我们	c=1 d=1 t=4456
bai du 	百度	c=1 d=1 t=2020
bai fen bi 	百分比	c=7 d=3.82846 t=2198
bai he zi 	白盒子	c=1 d=1 t=265
ban 	半	c=1 d=1 t=475
ban ben 	版本	c=4 d=1.00003 t=4182
ban fa 	办法	c=4 d=1.0048 t=4546
bang 	帮	c=1 d=1 t=4247
bang mang 	帮忙	c=1 d=1 t=1322
bang ni 	帮你	c=1 d=1 t=798
